Altares;"altares"
Cinco Ribeiras;"cinco_ribeiras"
Doze Ribeiras;"doze_ribeiras"
Feteira;"feteira"
Conceição;"conceicao_adh"
Porto Judeu;"porto_judeu"
Raminho;"raminho"
Ribeirinha;"ribeirinha_adh"
Santa Bárbara;"santa_barbara_adh"
Santa Luzia;"santa_luzia_adh"
São Bartolomeu dos Regatos;"sao_bartolomeu_dos_regatos"
São Bento;"sao_bento_adh"
São Mateus da Calheta;"sao_mateus_da_calheta"
São Pedro;"sao_pedro_adh"
Sé;"se_adh"
Serreta;"serreta"
Terra Chã;"terra_cha"
Vila de São Sebastião;"vila_de_sao_sebastiao"
