Ajuda da Bretanha;"ajuda_da_bretanha"
Arrifes;"arrifes"
Candelária;"candelaria"
Vila das Capelas;"vila_das_capelas"
Covoada;"covoada"
Fajã de Baixo;"faja_de_baixo"
Fajã de Cima;"faja_de_cima"
Fenais da Luz;"fenais_da_luz"
Feteiras;"feteiras"
Ginetes;"ginetes"
Livramento;"livramento"
Mosteiros;"mosteiros"
Pilar da Bretanha;"pilar_da_bretanha"
Relva;"relva"
Remédios;"remedios"
Santa Clara;"santa_clara_pdl"
Santo António;"santo_antonio"
São José;"sao_jose_pdl"
São Pedro;"sao_pedro_pdl"
São Roque;"sao_roque"
São Sebastião;"sao_sebastiao_pdl"
São Vicente Ferreira;"sao_vicente_ferreira"
Sete Cidades;"sete_cidades"
